,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,James,Laid,66,"['britpop', 'madchester', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'rock']",Alternative 90s,0.457,0.909,0,-9.451,1,0.0317,0.0016,0.000276,0.135,0.755,115.99799999999999,2CdS3DRqWR5LAhy4hM5X9W,156667,4
1,grandson,In Over My Head,60,"['modern alternative rock', 'modern rock', 'rock']",Alternative Beats,0.5820000000000001,0.8170000000000001,0,-6.475,1,0.0399,0.0017,0.0158,0.575,0.622,155.124,3r0mb1tzAcCNoA8YRXuIhZ,198366,4
2,Foals,On The Luna,51,"['alternative dance', 'indie rock', 'modern alternative rock', 'modern rock', 'new rave', 'oxford indie', 'rock']",Alternative 10s,0.525,0.976,0,-2.023,1,0.0479,0.0662,0.000392,0.0804,0.855,138.984,0Sfj5fPqZzCq9o3f1NNphz,192695,4
3,Longpigs,She Said,47,"['britpop', 'sheffield indie']",Alternative 90s,0.21,0.87,5,-5.985,1,0.0606,0.000147,0.000488,0.188,0.517,168.352,5J7l2wE9wxqod7xIP0jyAB,264067,4
4,Beastie Boys,Sure Shot,57,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock']",Alternative 90s,0.6920000000000001,0.799,1,-7.9239999999999995,1,0.16399999999999998,0.38799999999999996,0.0,0.301,0.5489999999999999,97.978,21REQ1bCUWphT2QK3bLWYQ,199667,4
5,Castaways,"Liar, Liar",40,[],Alternative 60s,0.525,0.623,7,-6.252999999999999,0,0.0291,0.247,0.742,0.14800000000000002,0.8390000000000001,144.583,3LNgoqv3AboDUhnuWrrzSF,115925,4
6,Justin Townes Earle,Ain’t Got No Money,57,"['alternative country', 'country rock', 'deep new americana', 'folk', 'indie folk', 'nashville americana', 'new americana', 'roots rock', 'stomp and holler']",Modern Eclectic,0.445,0.655,2,-7.402,0,0.0694,0.418,5.19e-06,0.0829,0.62,108.406,1iGzUMnwk5xeDZAnr2pE4Q,185096,4
7,Parquet Courts,Human Performance,47,"['alternative rock', 'brooklyn indie', 'denton tx indie', 'freak folk', 'garage psych', 'indie garage rock', 'indie rock', 'modern alternative rock', 'modern rock', 'neo-psychedelic', 'noise pop']",Garage Rock Revival,0.456,0.754,6,-3.875,0,0.0298,0.195,0.485,0.292,0.521,109.825,6gCdeGEhXZbAracd6B977r,255880,4
8,The Replacements,I Will Dare,47,"['alternative pop', 'alternative rock', 'art rock', 'indie rock', 'new wave', 'permanent wave', 'pop rock', 'post-punk', 'power pop', 'punk', 'rock', 'roots rock']",Alternative 80s,0.456,0.857,7,-5.854,1,0.0833,0.00157,0.0344,0.33299999999999996,0.5589999999999999,167.709,1MV5BzujqyRQ417qj0rXNS,197427,4
9,Mourn,Fun at the Geysers,25,['spanish post-punk'],pulp,0.456,0.961,7,-4.353,1,0.0772,0.000288,0.00201,0.366,0.7120000000000001,76.547,2XC3UsKero8x1dAgOdwhNg,118720,4
10,Brent Cobb,Soapbox,46,"['indie folk', 'modern southern rock', 'new americana', 'roots americana']",Indigo,0.892,0.47,0,-8.413,1,0.0368,0.75,0.0,0.0817,0.784,108.92,0lywqgKF3aEuSxWNtJe2uW,242347,4
11,Nation of Language,The Wall & I,46,"['brooklyn indie', 'garage psych']",undercurrents,0.5579999999999999,0.8759999999999999,6,-5.625,1,0.0288,0.0244,0.293,0.0971,0.44799999999999995,141.995,5qIOUorQ9AInP9UliORgCC,304714,4
