,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,T-Bone Walker,Call It Stormy Monday (But Tuesday Is Just As Bad),4,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'jazz blues', 'rock-and-roll', 'texas blues', 'traditional blues']",Blues Origins,0.659,0.166,2,-14.523,0,0.0753,0.877,0.0502,0.10099999999999999,0.345,49.32,1hHzQMnAtUudMmN2YN9tyq,186973,4
1,Hayes McMullan,Goin' Away Mama Blues,23,['delta blues'],Delta Blues,0.701,0.205,3,-13.458,1,0.0582,0.9590000000000001,0.00359,0.0716,0.8390000000000001,101.734,2uMARFwLTasuuQ6cEChVBn,145853,4
2,Lucky Peterson,50 Years,31,"['blues', 'blues rock', 'electric blues', 'modern blues']",Got Blues,0.498,0.8240000000000001,5,-7.832000000000001,0,0.132,0.0641,0.00011200000000000001,0.18,0.5489999999999999,157.04,0z1d5h194QHSRIk7tRNS9c,251627,4
3,Lazer Lloyd,Backstreets,40,[],Acoustic Blues,0.584,0.37,8,-7.313,1,0.0348,0.861,1.07e-05,0.10800000000000001,0.073,136.012,5zxLOp4pDCfnJuMhZakq4f,296082,4
4,Sylvester Weaver,Guitar Rag,36,['traditional blues'],Blues Origins,0.467,0.122,2,-22.241,1,0.0366,0.9540000000000001,0.902,0.132,0.41100000000000003,111.256,5xwCQuoGnPdgqw2omrgmCq,178333,4
5,Allison Russell,Nightflyer,55,[],Blues Roots,0.48200000000000004,0.33299999999999996,2,-9.78,1,0.0636,0.705,0.0,0.106,0.414,73.271,2Y6JBUc0T7EW2VAA1p9acN,295547,4
6,Kenny Wayne Shepherd,Blue On Black - Live,32,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'modern blues', 'modern blues rock', 'rock']",Live & Loud,0.33899999999999997,0.69,7,-8.307,1,0.0306,0.0038799999999999998,0.000987,0.983,0.42100000000000004,154.623,63AX5OxRqJglmoB8A4Rt7R,332653,4
7,Stevie Ray Vaughan,Life By The Drop,51,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",Acoustic Blues,0.659,0.163,6,-11.864,0,0.0388,0.7659999999999999,1.4099999999999999e-05,0.0735,0.473,95.882,1cyftogE58xHzSgb77zcsn,147507,4
8,The Milkshakes,Ida Honey (Tell Me You'll Be Mine),12,"['medway sound', 'punk blues', 'trash rock']",Punk Blues,0.474,0.6829999999999999,2,-7.218999999999999,0,0.092,0.528,0.0,0.19699999999999998,0.8340000000000001,118.71,1cvo2lJ0ui4OQ0n5y3ZUZV,135400,4
9,DARKSIDE,Paper Trails,55,"['downtempo', 'electronica']",Bluestronica,0.9470000000000001,0.419,8,-13.043,0,0.0578,0.778,0.914,0.121,0.36200000000000004,113.236,1DK2JuYarBeNwcLNPw1Qyo,289841,4
10,Bernard Allison,Same Ole Feeling,20,"['blues', 'blues rock', 'electric blues', 'modern blues', 'modern blues rock']",Funky Blues,0.742,0.696,9,-7.1979999999999995,0,0.0384,0.294,2.34e-06,0.0802,0.765,82.25200000000001,6SeaebjgIWeOe8hhEOmgdR,244624,4
11,Sylvester Cotton,Three Cent Stamp Blues,5,[],Motor City Blues,0.638,0.237,6,-11.395,1,0.0411,0.9309999999999999,0.0154,0.0997,0.475,132.959,0mZyTXRqojZDNe0JCBrzhx,159219,4
12,Fruition,Fire,43,"['deep new americana', 'jam band', 'jamgrass', 'new americana', 'progressive bluegrass']",Blues & Roots Rock,0.47200000000000003,0.813,9,-5.919,0,0.0399,0.12,0.000109,0.382,0.684,134.922,7JDGQ1tmrKQCz9ptRTrt13,216085,4
13,Dizzy Gillespie,Birks' Works,35,"['bebop', 'big band', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'soul jazz', 'swing', 'vocal jazz']",Jazz-Blues,0.511,0.431,0,-9.372,0,0.0583,0.6859999999999999,0.753,0.233,0.6990000000000001,131.309,189Ut7anuQjKNbiHIHBOaa,297493,4
14,Lil Greenwood,Grandpa Can Boogie Too,34,[],The Birth of Rhythm & Blues,0.6990000000000001,0.688,5,-4.11,0,0.141,0.755,0.0,0.151,0.843,79.242,1oNbeEhzsJ0BG9Pg7AGVl6,170387,4
15,The Animals,House Of The Rising Sun,74,"['album rock', 'blues rock', 'british invasion', 'classic rock', 'folk rock', 'protopunk', 'psychedelic rock', 'rock']",Brit-Blues,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,4mn2kNTqiGLwaUR8JdhJ1l,269907,3
16,"Christone ""Kingfish"" Ingram",Outside Of This Town,48,['modern blues'],In the Name of the Blues,0.418,0.866,11,-4.033,0,0.0513,0.00381,0.00159,0.581,0.643,130.192,1huWqmpiYksaPppQHLDhZP,248036,4
17,Brian Owens,A Change Is Gonna Come,41,[],Blue Ballads,0.619,0.405,10,-6.8020000000000005,1,0.0273,0.391,5.97e-06,0.0736,0.562,128.958,2RONhC3MSnfZx3P7b3csF5,276609,3
18,Eden Brent,Better This Way,30,"['acoustic blues', 'piano blues']",Blue Ballads,0.48700000000000004,0.248,10,-9.562000000000001,1,0.0263,0.716,0.0029100000000000003,0.132,0.21100000000000002,83.339,4Uja4YjvLeXNdgkvx3Fvj2,250947,3
19,Jacob Banks,Parade,54,"['modern alternative rock', 'uk contemporary r&b']",Blues & Roots Rock,0.574,0.691,6,-7.805,0,0.0336,0.0142,0.00043099999999999996,0.16899999999999998,0.767,95.009,6qzA5ZUivvw1FCZJSVYoNE,136632,4
20,Anderson East,All On My Mind - Acoustic,44,"['indie folk', 'modern blues', 'new americana']",Blue Ballads,0.483,0.48700000000000004,1,-6.376,0,0.158,0.69,0.0,0.10800000000000001,0.298,108.944,4piJ8pnoRvC5sqMEpbH0FA,229613,5
21,Big Brother & The Holding Company,Piece of My Heart,69,"['blues rock', 'classic rock', 'folk rock', 'psychedelic rock', 'rock']",Acid Blues,0.44299999999999995,0.727,4,-7.9510000000000005,1,0.145,0.263,0.00014099999999999998,0.16899999999999998,0.5660000000000001,160.82,1xKQbqQtQWrtQS47fUJBtl,253333,4
22,William Elliott Whitmore,Johnny law,41,"['iowa indie', 'new americana', 'stomp and holler']",Acoustic Blues,0.687,0.322,4,-13.015,1,0.06,0.9620000000000001,0.0,0.0818,0.312,107.75299999999999,50NxwJPlcjsT7IqFshyuYP,269907,4
23,Mr. Airplane Man,Like That,19,"['garage rock', 'modern blues rock', 'punk blues']",Punk Blues,0.32799999999999996,0.893,3,-10.854000000000001,1,0.0594,0.353,0.441,0.0763,0.508,135.322,0MqI4KwV5TMSO6rIhe2f3w,188546,4
24,"Christone ""Kingfish"" Ingram",Rock & Roll,51,['modern blues'],Blues Roots,0.532,0.473,2,-7.178999999999999,1,0.0295,0.647,8.03e-06,0.0753,0.345,145.072,5xfYZuMVGuyh9L0LcVWjzE,290483,3
25,Doctor Ross,Come Back Baby,35,['delta blues'],Blues Origins,0.65,0.424,10,-11.238,1,0.0646,0.87,0.0443,0.0869,0.865,91.977,7voiKv7nCbpQkF9jcN4VPn,170440,4
26,Etran Finatawa,An Mataf Germanawen,9,"['afropop', 'desert blues', 'griot', 'ngoni', 'tuareg guitar', 'world']",African Blues,0.6970000000000001,0.40700000000000003,0,-11.75,1,0.0814,0.8290000000000001,0.121,0.0782,0.965,100.64299999999999,1EqJ2AB7hZfij0Hcz3Wyca,240880,4
27,Muddy Waters,Mean Old Frisco Blues,37,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",From the Delta to Chicago,0.6859999999999999,0.757,11,-7.337000000000001,0,0.0267,0.7070000000000001,0.000153,0.653,0.8959999999999999,107.712,47yBPZ5GEDld4CMlsyudCV,225200,4
28,Steve Smyth,Written Or Spoken,34,"['australian indie', 'new americana']",Blues Roots,0.341,0.253,9,-10.552,1,0.0294,0.868,0.000154,0.153,0.19,168.388,3z7T06BNFCqaE7NNSYDXHQ,299613,4
29,Bessie Smith,Nobody Knows You When You're Down and Out,44,"['blues', 'harlem renaissance', 'jazz blues', 'traditional blues']",Blues Origins,0.599,0.0424,4,-12.099,1,0.0572,0.996,0.00176,0.185,0.18600000000000003,90.001,3ru8IZrBxuFFHOFKEvvpFP,176133,4
30,St. Paul & The Broken Bones,Grass Is Greener,50,"['funk', 'indie folk', 'retro soul', 'soul']",Blues Roots,0.34,0.491,7,-7.0,1,0.0322,0.428,0.0397,0.226,0.248,176.30900000000003,5ZhJfcwTqyiAkxFpB3RH8o,254333,3
31,Josh Teskey,Thinking 'Bout Myself,51,[],Blues Roots,0.644,0.53,4,-8.296,0,0.0884,0.787,0.0303,0.259,0.6779999999999999,99.73299999999999,2JF0vG0CsoDEjLZdd9QMm1,221214,4
32,Mississippi Blues Band,Café Madrid,28,['blues latinoamericano'],Latin Blues,0.5329999999999999,0.7040000000000001,7,-9.97,1,0.0485,0.16399999999999998,2.59e-05,0.0739,0.696,118.935,1HUX0GSZQoc4hqZJ76vokM,206893,4
33,North Mississippi Allstars,Up and Rolling,59,"['blues rock', 'country rock', 'deep new americana', 'electric blues', 'funk', 'jam band', 'modern blues', 'modern blues rock', 'new americana', 'roots rock', 'southern rock']",Got Blues,0.8079999999999999,0.532,2,-7.472,1,0.025,0.5429999999999999,0.004220000000000001,0.122,0.816,89.934,1Wg6dLYXgqxs0YtQS6ifco,303920,4
34,Lead Belly,Where Did You Sleep Last Night,51,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'folk', 'old-time', 'texas blues', 'traditional blues', 'traditional folk']",Scratchy Back Porch Blues,0.57,0.24100000000000002,4,-12.138,1,0.0473,0.948,0.0224,0.111,0.5429999999999999,115.352,0p5zJBYoJOzVLBiDeA0PvS,181893,3
35,Marcia Ball,Louella,35,"['electric blues', 'louisiana blues', 'modern blues', 'piano blues', 'swamp blues']",Women of the Blues,0.486,0.873,1,-5.996,1,0.132,0.0694,8.72e-05,0.306,0.511,158.559,6KM7FlnvLrETbLpoNCjxYE,267467,4
36,Lincoln Durham,Creeper,33,"['modern blues', 'modern blues rock']",Modern Blues Rock,0.644,0.716,4,-10.005,0,0.0823,0.0597,1.4499999999999998e-05,0.10099999999999999,0.569,142.059,3DI0Ko7hmK2uh8INSXFnkb,221213,4
37,Jesse Cook,I Put A Spell On You,34,"['flamenco guitar', 'rumba']",Crossroad Blues,0.42,0.373,1,-9.302,0,0.032,0.922,0.0376,0.10099999999999999,0.322,174.31099999999998,7sNbMDi5Yyi54pP1T1IbDS,178651,3
38,Janiva Magness,Whoop And Holler,12,"['electric blues', 'modern blues']",Blues Party,0.636,0.9179999999999999,9,-6.294,1,0.0559,0.531,9.85e-06,0.32799999999999996,0.46,96.991,0rOgDYmxNfgSlHyIuvBt5z,156773,4
39,Blind Willie McTell,Mr. McTell Got the Blues - 2003 Remastered,30,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'piedmont blues', 'traditional blues', 'traditional folk']",Scratchy Back Porch Blues,0.614,0.136,10,-14.095,1,0.038,0.9129999999999999,3.01e-06,0.0891,0.527,113.96700000000001,5w3davI2J6IeUfBZ4cE2qq,137693,4
40,Tutu Jones,Starting All Over,30,"['power blues-rock', 'soul blues']",Lone Star Blues,0.7440000000000001,0.8320000000000001,7,-4.268,0,0.0242,0.24,0.00391,0.653,0.9670000000000001,94.68,3T1iXyK8LzxE4QYbU30z2N,246600,4
41,"Christone ""Kingfish"" Ingram",Before I'm Old,41,['modern blues'],In the Name of the Blues,0.534,0.649,2,-5.526,1,0.040999999999999995,0.0438,0.00474,0.0946,0.528,159.88,2qZviR41HzjKtSyXhsmxie,255118,4
42,John Lee Hooker,Boom Boom,59,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",Blues Classics,0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.9179999999999999,160.9,2Mr1bGI2E10K7Mt1UJZ6Mw,152351,4
43,Edgar Winter's White Trash,Keep Playin' That Rock 'n' Roll,16,[],Boogie Rock,0.695,0.8640000000000001,9,-9.509,1,0.0344,0.0935,0.0,0.222,0.9620000000000001,129.613,0rQf7arPF7Fob1ewkKicL1,224707,4
44,Luke Wylde,God Damn,18,[],Alt-Blue,0.53,0.8140000000000001,5,-4.981,0,0.0494,0.0541,0.0,0.42,0.285,153.975,4hJnBBNQ4uvVnmNDR6hcns,163636,4
45,The Cold Stares,Third World War,20,"['modern alternative rock', 'modern blues', 'modern blues rock', 'modern hard rock']",Alt-Blue,0.521,0.887,7,-4.474,1,0.0375,0.0228,4.04e-05,0.198,0.7390000000000001,87.04700000000001,6bNhMOHw8kGRHw9lVbLRme,202908,4
46,Vintage Trouble,Doin' What You Were Doin',23,"['funk', 'modern blues rock']",Lighter Blue,0.6809999999999999,0.741,5,-6.5489999999999995,1,0.0381,0.524,2.8100000000000002e-05,0.08199999999999999,0.7070000000000001,92.913,0jpdoJVaTkb5Y40aslfSqP,242090,4
47,Luke Winslow-King,Watch Me Go,35,"['michigan folk', 'michigan indie']",Blues Roots,0.632,0.575,5,-7.358,1,0.0354,0.105,3.59e-05,0.158,0.6890000000000001,106.95299999999999,4zoCjQ2VnSlgg65FDrTr5a,283867,3
48,Mavis Staples,No Time For Cryin' - Live,36,"['funk', 'roots rock', 'soul', 'southern soul', 'spirituals']",Live & Loud,0.7559999999999999,0.875,7,-7.132000000000001,1,0.0743,0.35,0.00928,0.6859999999999999,0.753,115.257,7ICAeoqGimtKtsO8uAzHD0,322022,4
49,Freddie King,Stumble,52,"['blues', 'blues rock', 'classic rock', 'electric blues', 'texas blues', 'traditional blues']",Summertime Blues,0.6779999999999999,0.612,4,-9.764,1,0.0339,0.10099999999999999,0.318,0.16399999999999998,0.857,118.381,0RTjFVHvqjTdpX2NawwyXI,216627,4
50,Cedric Burnside,The World Can Be So Cold,0,"['memphis americana', 'modern blues', 'modern blues rock']",Acoustic Blues,0.629,0.22899999999999998,7,-6.662999999999999,1,0.0459,0.893,2.2100000000000002e-05,0.122,0.514,138.775,1lUN4eNRlpuf3hHJjXf7KG,206040,4
51,Tyler Bryant & the Shakedown,Backbone,26,"['modern alternative rock', 'modern blues rock', 'modern hard rock']",Modern Blues Guitar,0.516,0.737,10,-5.22,1,0.0992,0.0229,5.98e-06,0.375,0.602,133.217,735JDdMlCfiJDastCL3WTA,168293,4
52,Baby Boy Warren,Hello Stranger,5,[],Motor City Blues,0.562,0.48100000000000004,11,-10.208,1,0.132,0.995,0.423,0.13699999999999998,0.6890000000000001,112.667,4XKUxWLQ7SvfJHNUbzb1R1,161698,4
53,Leon Bridges,Mrs.,57,"['modern blues', 'soul']",Blues Roots,0.706,0.354,6,-9.592,1,0.29,0.479,0.0,0.0734,0.376,119.79299999999999,2R4O7MgIrN35QXnyLKMFVl,242520,3
54,Mason Murphy,Crossroads,18,[],Bluestronica,0.698,0.774,7,-5.144,1,0.0654,0.0887,0.00297,0.11699999999999999,0.531,90.03299999999999,1b8s2ikwLa1ZmJYAdOZAjR,141333,4
55,Philip Sayce,Spirit,42,"['blues rock', 'electric blues', 'modern blues', 'modern blues rock', 'modern hard rock']",Got Blues,0.479,0.905,4,-6.606,0,0.0565,0.0007599999999999999,0.0021899999999999997,0.326,0.27399999999999997,90.007,0G1p6qY60TM9fT3v9iHRdF,218088,4
56,Derek & The Dominos,Layla,75,"['album rock', 'art rock', 'blues', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']",Brit-Blues,0.40399999999999997,0.902,1,-3.88,1,0.0665,0.5770000000000001,0.297,0.287,0.49700000000000005,115.669,2kkvB3RNRzwjFdGhaUA0tz,423840,4
57,Frank Bey,All My Dues Are Paid,29,[],Got Blues,0.782,0.6829999999999999,0,-5.131,1,0.03,0.105,3.77e-06,0.0982,0.87,103.962,3znhGwwxf4qFynHf6tnNwD,251813,4
58,B.B. King,"You Upset Me, Baby",26,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",Blues Origins,0.6990000000000001,0.475,0,-8.806000000000001,1,0.18600000000000003,0.946,0.000762,0.281,0.74,116.471,5VkAUiBDfeZz3RKf6QWELj,183520,4
59,Kenny Wayne Shepherd,Down For Love - Live,26,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'modern blues', 'modern blues rock', 'rock']",Live & Loud,0.32899999999999996,0.893,9,-6.486000000000001,1,0.0772,0.00182,0.0006519999999999999,0.75,0.556,133.07399999999998,6OQ3GvlaMOJTCPNi1mYKwQ,269440,4
60,Whitehorse,My Babe,40,"['canadian folk', 'canadian indie', 'deep new americana', 'hamilton on indie']",Blues & Roots Rock,0.621,0.79,4,-4.4639999999999995,1,0.0884,0.115,1.32e-05,0.321,0.9470000000000001,172.102,5skNyajERDfPHvKNdzSpRU,138312,4
61,The Deadly Snakes,Playboys,30,"['alternative roots rock', 'canadian garage rock', 'punk blues', 'toronto indie']",Punk Blues,0.21,0.86,4,-2.187,1,0.0738,0.0121,7.65e-05,0.142,0.402,164.762,4hGX78tAyrI9srdacmlOss,167507,3
62,J.B. Lenoir,Worried About My Baby,26,"['acoustic blues', 'blues', 'chicago blues', 'traditional blues']",Scratchy Back Porch Blues,0.513,0.26,9,-13.115,1,0.0607,0.935,0.00843,0.154,0.74,80.53699999999999,3e6iNiUs10CbGZCaQ5v2Zp,164146,4
63,Freddie King,Palace Of The King,39,"['blues', 'blues rock', 'classic rock', 'electric blues', 'texas blues', 'traditional blues']",Lone Star Blues,0.6559999999999999,0.773,1,-9.156,0,0.0363,0.335,0.0014199999999999998,0.155,0.867,114.979,2T6pMaivfX7w4tfAUX4uU9,220240,4
64,Ida Mae,Click Click Domino (feat. Marcus King),47,['uk americana'],Modern Blues Rock,0.465,0.7509999999999999,2,-5.801,1,0.126,0.27899999999999997,0.007640000000000001,0.20800000000000002,0.618,149.501,5SefpS9fNKmduJWxxqH0tA,203100,4
65,Gary Clark Jr.,Take Me Down,41,"['blues rock', 'electric blues', 'funk', 'modern alternative rock', 'modern blues', 'modern blues rock', 'rock', 'soul blues', 'texas blues']",Blues Roots,0.40399999999999997,0.39799999999999996,7,-9.907,1,0.0289,0.205,0.0125,0.0917,0.251,75.867,5NFV5HquTXQXR3q384YMhc,287484,4
66,Bad Flamingo,Dead Man's Hand,27,[],Nu-Blue,0.6759999999999999,0.604,4,-11.482999999999999,1,0.18600000000000003,0.299,0.5870000000000001,0.13,0.813,151.174,1hI4TLRC6ctAy6Rq1s3gz1,221973,4
67,Bo Diddley,Bo Diddley,54,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'funk', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul', 'traditional blues']",The Birth of Rhythm & Blues,0.809,0.701,0,-12.484000000000002,1,0.0574,0.17600000000000002,0.0,0.184,0.563,105.696,2R7uUQ0Dehu80gsOcydQC9,149013,4
68,Fantastic Negrito,Working Poor,39,"['bay area indie', 'funk', 'modern blues', 'modern blues rock']",Blues & Roots Rock,0.765,0.636,4,-8.158,0,0.0479,0.0563,0.000337,0.11800000000000001,0.518,83.524,1bUh3o9tJiX9ylkQyc1bw4,240726,4
69,Luther Allison,Bad News Is Coming,52,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'modern blues']",Classic Blues Guitar,0.639,0.496,1,-6.843999999999999,0,0.0375,0.713,0.254,0.0545,0.467,140.394,1TRIYxcVJYPki5AX2hZzZT,445533,3
70,Buddy Guy,Messin' with the Kid,2,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'country blues', 'electric blues', 'modern blues', 'soul blues', 'traditional blues']",Summertime Blues,0.723,0.738,5,-8.571,1,0.0442,0.81,0.011000000000000001,0.0829,0.809,120.12100000000001,1lk7vTxSpEUya4MiDn47ez,135547,4
71,Terakaft,Tenere wer tat zinchegh,18,"['desert blues', 'malian blues', 'mande pop', 'tuareg guitar', 'world']",African Blues,0.568,0.574,2,-6.05,1,0.0252,0.858,0.168,0.11,0.38799999999999996,93.031,5ASCjIJfbY6K85wMZfuTV6,288320,4
72,La Rata Bluesera,Blues de la Transición,24,['blues latinoamericano'],Latin Blues,0.41200000000000003,0.379,9,-12.424000000000001,0,0.0603,0.327,0.000336,0.6920000000000001,0.248,102.96,4cxeRmmmie5my4SPaiC2nU,212815,4
73,Marcus King,The Well,53,['modern blues rock'],Blues & Roots Rock,0.58,0.573,9,-8.137,1,0.061,0.00305,0.0015,0.182,0.47700000000000004,121.225,6PPKEOG6TwpExLXDnj1QKH,177093,4
74,Albert Collins,Put The Shoe On The Other Foot,17,"['blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues']",Funky Blues,0.489,0.586,2,-13.885,1,0.0596,0.0352,0.0635,0.059000000000000004,0.882,167.722,19maOy2xgQP0FxuWqsey2n,332560,4
75,Status Quo,Rockin' All Over The World,64,"['album rock', 'blues rock', 'british blues', 'classic rock', 'classic uk pop', 'glam rock', 'hard rock', 'rock']",Boogie Rock,0.632,0.9329999999999999,0,-7.874,1,0.0326,0.23600000000000002,0.00151,0.604,0.968,131.487,6YlOxoHWLjH6uVQvxUIUug,215333,4
76,Eric Bibb,Whole World's Got The Blues (feat. Eric Gales),41,"['acoustic blues', 'blues', 'country blues', 'electric blues', 'modern blues', 'piedmont blues']",Got Blues,0.636,0.495,0,-9.427999999999999,1,0.0395,0.0456,0.0823,0.106,0.536,108.23,36K7AYc1UyMyjPoV4c3ozR,333989,3
77,Tedeschi Trucks Band,"Signs, High Times",39,"['blues rock', 'country rock', 'double drumming', 'electric blues', 'funk', 'jam band', 'mellow gold', 'modern blues', 'new americana', 'rock', 'roots rock']",Funky Blues,0.5589999999999999,0.644,9,-9.925,1,0.0391,0.191,0.0082,0.124,0.5720000000000001,87.075,2ugzSmr5FKy9AwBmTUkEiT,231880,4
78,Tami Neilson,You Were Mine,45,"['nz folk', 'nz pop', 'nz singer-songwriter']",Blues & Roots Rock,0.374,0.542,0,-8.136000000000001,0,0.0552,0.6990000000000001,8.79e-05,0.102,0.419,183.745,4cmSWeG4xfAJboduGW9g8A,223577,3
79,Stan Getz,Pennies From Heaven,37,"['adult standards', 'bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz', 'vocal jazz']",Jazz-Blues,0.701,0.13699999999999998,0,-16.397000000000002,1,0.0417,0.991,0.912,0.155,0.68,92.34100000000001,1cKieOitNWqzxDdOboOzHy,311813,4
