,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,21 Savage,Spiral,63,"['atl hip hop', 'rap', 'trap']",No Cap,0.8140000000000001,0.659,2,-4.475,1,0.0829,0.00155,0.0251,0.568,0.13,88.506,5YaMZfnTGCk6Ze3AxEcoaY,171527,4
1,VIC MENSA,"SHELTER ft Wyclef Jean, ft Chance The Rapper",55,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",Mellow Bars,0.664,0.66,0,-5.284,1,0.29100000000000004,0.18100000000000002,2.23e-06,0.19,0.47,90.10600000000001,2nKaHCeL3e5DNl3P7eZ5uo,261467,4
2,Pooh Shiesty,Welcome To The Riches (feat. Lil Baby),0,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",No Cap,0.8420000000000001,0.4,11,-11.308,0,0.486,0.0457,0.0,0.172,0.205,130.018,3fcOx9hUmxuj6iGfkLZs3d,192052,4
3,Athletic Progression,Stepney Tale,37,"['aarhus indie', 'danish modern jazz', 'jazz rap']",Jazz Rap,0.632,0.8,5,-7.227,0,0.23399999999999999,0.547,0.0,0.147,0.496,92.757,0P90OLiLpljHLYJnqZOK5h,209833,4
4,Ghetts,Fire and Brimstone,46,"['grime', 'uk alternative hip hop', 'uk hip hop']",Grime Shutdown,0.846,0.511,1,-8.116,1,0.263,0.0375,5.14e-06,0.147,0.34600000000000003,136.964,2lyDT6B5SciPljZUBrNJCu,190773,4
5,Childish Major,Disrespectful,54,"['alternative r&b', 'trap soul', 'underground hip hop']",Get Turnt,0.924,0.5,5,-8.906,0,0.513,0.065,0.0,0.111,0.731,145.062,2ei1YRwttbDMc80SlVSHUQ,137887,4
6,Hadag Nahash,חליפות,36,"['israeli hip hop', 'jewish hip hop']",This Is הדג נחש,0.812,0.617,9,-6.345,1,0.264,0.154,0.0,0.076,0.7609999999999999,83.98700000000001,63cQxi2P9ZSdch9fQupppW,262893,4
7,FMB DZ,War Zone (feat. Sada Baby),43,"['cali rap', 'detroit trap']",Out The Mud,0.639,0.8340000000000001,2,-7.332000000000001,1,0.225,0.0284,0.0,0.33299999999999996,0.33799999999999997,92.484,4LYlhcPVPIAxjnfqY2Ic6k,146651,4
8,Lakeyah,Young and Ratchet,62,['pop r&b'],Feelin' Myself,0.871,0.541,10,-8.64,0,0.512,0.16899999999999998,0.0,0.0993,0.825,158.053,1O2vIEgUUDwzUpctAfeAlP,152095,4
9,PRICE,Rank,39,[],Signed XOXO,0.748,0.746,7,-6.864,1,0.444,0.0182,0.0,0.7140000000000001,0.774,202.157,50RSiB4ovD5vl794bneN3r,158018,4
