,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,James,Laid,66,"['britpop', 'madchester', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'rock']",Alternative 90s,0.457,0.909,0,-9.451,1,0.0317,0.0016,0.000276,0.135,0.755,115.99799999999999,2CdS3DRqWR5LAhy4hM5X9W,156667,4
1,tøm hughes,obvious,30,[],Lo-fi Indie,0.626,0.287,5,-19.453,0,0.415,0.898,0.0,0.22899999999999998,0.268,107.815,4CsSN0KzU3bqhkrA7P3kIw,189239,4
2,Amnesia Scanner,AS Too Wrong,38,"['art pop', 'deconstructed club', 'escape room', 'finnish electronic', 'fluxwork', 'grimewave']",Terra Incognita,0.568,0.815,2,-5.797999999999999,1,0.0528,0.00555,0.0212,0.354,0.134,102.023,0rCbNEFbEJPWffx6BmRH9Z,254500,4
3,Lisel,In the Dome,13,[],Ambiente,0.317,0.479,2,-10.785,1,0.0341,0.835,0.5429999999999999,0.0978,0.11199999999999999,88.383,1WUXUrTgHIYK2F2pb5bvS7,176695,4
4,beabadoobee,Worth It,51,"['bedroom pop', 'bubblegrunge', 'indie pop']",Women of Indie,0.5760000000000001,0.7509999999999999,2,-5.256,1,0.0269,0.0125,0.000459,0.0501,0.38,103.009,3r1qdSsvJEwiMKHeCWapMM,194173,4
5,Tennis,Runner,46,"['art pop', 'chillwave', 'denver indie', 'indie pop', 'indie rock', 'indie surf', 'shimmer pop']",Ethereal,0.531,0.831,7,-6.178999999999999,1,0.0412,0.0886,0.00266,0.106,0.667,157.266,7bX13zMKDuZi9pwf2XxxKg,216960,4
6,Foals,My Number,68,"['alternative dance', 'indie rock', 'modern alternative rock', 'modern rock', 'new rave', 'oxford indie', 'rock']",Indie Workout,0.639,0.715,6,-8.954,0,0.0392,0.0243,0.000552,0.619,0.813,128.072,04caEZhAsQKnWqKsMwk9ud,238853,4
7,Garden City Movement,She's so Untouchable - Original Mix,33,['israeli indie'],Indie TLV,0.747,0.779,4,-4.937,0,0.05,0.0988,0.0549,0.17800000000000002,0.687,102.012,5pHwg7ezzqFF5VIuIeSJhd,224350,4
8,Claud,Guard Down,53,"['bedroom pop', 'indie pop']",Ultimate Indie,0.816,0.625,0,-6.477,1,0.0391,0.11,0.000796,0.0935,0.855,126.022,6S8yc3BtzAFvFhjbnL8bTT,206882,4
9,Snapped Ankles,Rhythm Is Our Business - Edit,36,"['chamber psych', 'garage psych', 'london indie']",Post Punk 2k,0.5710000000000001,0.9109999999999999,0,-6.862,1,0.0399,0.00911,0.336,0.254,0.747,179.864,0nSKPt85T4Y3PFKe9U1AoJ,223000,4
10,Foals,On The Luna,51,"['alternative dance', 'indie rock', 'modern alternative rock', 'modern rock', 'new rave', 'oxford indie', 'rock']",Alternative 10s,0.525,0.976,0,-2.023,1,0.0479,0.0662,0.000392,0.0804,0.855,138.984,0Sfj5fPqZzCq9o3f1NNphz,192695,4
11,Longpigs,She Said,47,"['britpop', 'sheffield indie']",Alternative 90s,0.21,0.87,5,-5.985,1,0.0606,0.000147,0.000488,0.188,0.517,168.352,5J7l2wE9wxqod7xIP0jyAB,264067,4
12,Beastie Boys,Sure Shot,57,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock']",Alternative 90s,0.6920000000000001,0.799,1,-7.9239999999999995,1,0.16399999999999998,0.38799999999999996,0.0,0.301,0.5489999999999999,97.978,21REQ1bCUWphT2QK3bLWYQ,199667,4
13,Eyeliner,Pictures,36,"['future funk', 'hardvapour', 'vaporwave']",vaporwave,0.624,0.494,8,-11.319,1,0.0332,0.34600000000000003,0.92,0.0995,0.128,99.991,2VIvfWMO5F6OkzBHadgVci,162000,4
14,Castaways,"Liar, Liar",40,[],Alternative 60s,0.525,0.623,7,-6.252999999999999,0,0.0291,0.247,0.742,0.14800000000000002,0.8390000000000001,144.583,3LNgoqv3AboDUhnuWrrzSF,115925,4
15,Mr. Oizo,Jo,39,"['alternative dance', 'dance-punk', 'electro house', 'filter house', 'new rave', 'ninja']",Future Funk,0.7979999999999999,0.866,1,-4.532,1,0.153,0.0191,0.415,0.703,0.513,119.546,1SgsRoIXRSsLxT6fkG3DkZ,136787,4
16,Boxout,ALMA,31,[],Fresh Finds: Indie,0.354,0.777,4,-6.648,1,0.06,0.0553,0.000383,0.38,0.39299999999999996,200.139,3ckKmJuGCwmoXQ8VCqMrvA,206400,4
17,Arlo Parks,Eugene,65,"['indie soul', 'uk contemporary r&b']",Women of Indie,0.606,0.589,7,-7.194,0,0.0456,0.75,0.0102,0.0922,0.889,174.285,4S6PolgPZ5OLph314ww8Fg,221804,4
18,Marika Hackman,Between the Bars,32,"['ambient folk', 'art pop', 'chamber pop', 'chamber psych', 'indie folk']",Indie Covers,0.49700000000000005,0.26,11,-12.460999999999999,0,0.0349,0.932,0.00686,0.12300000000000001,0.154,84.39299999999999,1DSnSVoW5ZC78QCWvb2cHY,155853,4
19,Kasabian,L.S.F.,51,"['alternative rock', 'britpop', 'garage rock', 'indie rock', 'leicester indie', 'modern rock', 'new rave', 'rock']",Indie Roadtrip,0.617,0.754,9,-7.395,1,0.0363,0.007540000000000001,0.000171,0.256,0.397,105.28200000000001,0w21XZhGlmIexgtDpmtnzT,196853,4
