,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,Myrkur,Ella,42,"['autonomous black metal', 'avant-garde metal', 'danish black metal', 'danish metal', 'gaian doom', 'medieval folk', 'post-black metal', 'rune folk']",Northern Spirits,0.24,0.313,5,-11.475999999999999,1,0.033,0.7909999999999999,0.000156,0.17600000000000002,0.131,101.67299999999999,6QXieDRlH4Ofjg864USffV,234923,3
1,Monuments,Deadnest,51,['djent'],Kickass Metal,0.445,0.968,6,-2.563,1,0.207,1.29e-05,9.99e-06,0.33799999999999997,0.326,114.92,3IC74qNKqXdeydqyS1J5z5,207391,4
2,The Southern Oracle,Prisoner,20,"['hungarian metal', 'magyar alternative']",Thrashers,0.51,0.9890000000000001,1,-3.66,0,0.376,0.000124,6.2e-05,0.41,0.371,99.889,4ykGftnKT3rol4IfnE1pHw,141400,4
3,Insomnium,The Reticent,0,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'melodic death metal', 'metal']",New Metal Tracks,0.498,0.833,7,-8.872,0,0.0405,0.000165,0.0497,0.12300000000000001,0.121,117.962,07PFzxEUNcMIwghKcrFGgF,272616,4
4,Galleons,Playing With Fire is Such a Cliché,42,"['progressive post-hardcore', 'swancore']",New Metal Tracks,0.47100000000000003,0.925,7,-4.633,1,0.0598,0.000254,2.65e-05,0.35600000000000004,0.0768,100.012,4c1iQXXJundtYEWroDRku7,303000,4
5,Powerwolf,Beast of Gévaudan,17,"['german metal', 'german power metal', 'metal', 'power metal']",New Metal Tracks,0.46299999999999997,0.9620000000000001,1,-5.697,0,0.0712,0.0007610000000000001,0.0,0.239,0.188,109.899,1i0fcF53lHffHnDxM293On,211893,4
6,Amberian Dawn,Lay All Your Love on Me,41,"['finnish power metal', 'gothic metal', 'gothic symphonic metal', 'melodic metal', 'power metal', 'slayer', 'symphonic metal', 'symphonic power metal']",Metal Covers,0.557,0.9540000000000001,11,-4.3180000000000005,0,0.034,0.000454,0.0011099999999999999,0.0916,0.57,134.972,7pQkSNKRQgaN9HdlMvf2NP,233472,4
7,Ephemerald,No Fall Is Too Deep,19,"['finnish metal', 'melodic death metal']",New Blood,0.247,0.899,2,-7.322,1,0.0716,2.48e-06,0.0717,0.188,0.0399,180.08700000000002,5nuX6NXiewtyflOf2hkuGP,294832,4
8,Guns N' Roses,Welcome To The Jungle,78,"['glam metal', 'hard rock', 'rock']",Metal Empire,0.447,0.9540000000000001,8,-8.068999999999999,1,0.0751,0.0235,0.40299999999999997,0.298,0.331,123.45299999999999,0bVtevEgtDIeRjCJbK3Lmv,272027,4
9,John Diva & the Rockets of Love,American Amadeus,29,"['modern hard rock', 'new wave of glam metal']",Hard Rock,0.446,0.973,1,-4.111000000000001,1,0.0539,0.0156,1.81e-06,0.322,0.52,169.998,5xJ3qPv0iq82Wrk7ibZRAV,240840,4
10,Abandoned In Destiny,Monsters,28,[],New Metal Tracks,0.46799999999999997,0.932,10,-4.85,0,0.0652,0.00026000000000000003,0.0,0.508,0.42200000000000004,137.964,1qM8OTOcwifW9kFT51jhmm,239565,4
11,Liquorworks,Then To Hell With You,29,"['djent', 'instrumental rock']",Instrumental Madness,0.419,0.894,8,-5.223,0,0.068,0.0007,0.9309999999999999,0.156,0.16,154.982,1rrh2Aqj7390GGeGIcDuel,442907,4
