,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,Prides,A Wilder Heart - Acoustic,40,[],Acoustic Hits,0.44,0.33899999999999997,0,-8.191,1,0.0381,0.672,0.0,0.0933,0.353,110.06299999999999,4AF9tkZUxzpvTz8FfJ61ZS,241562,5
1,Sam Smith,Diamonds - Acoustic,59,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",Hot Acoustics,0.489,0.284,10,-8.699,0,0.0508,0.841,0.0,0.13699999999999998,0.335,186.33700000000002,4y8OZW2dyWRobsi2w0C64W,194542,4
2,The Polar Boys,Let Go,35,['miami indie'],Bedroom Pop,0.581,0.833,3,-6.5089999999999995,1,0.0547,0.114,3.9e-05,0.0748,0.557,170.03900000000002,2bpLqoucf7nznaYYbsnw8H,207238,4
3,Ginger Root,Weather,46,['oc indie'],Bedroom Pop,0.726,0.8170000000000001,11,-6.397,0,0.0334,0.39899999999999997,0.17800000000000002,0.0871,0.501,126.977,2D3gvohUyOfXIVX6Mvhqae,222976,4
4,Noa Kirel,'פאוץ,49,['israeli pop'],EQUAL Israel,0.795,0.6579999999999999,7,-6.896,0,0.057,0.233,0.0883,0.247,0.7859999999999999,139.917,1Hg89hDeCCUxG2w57pEOyq,167108,4
5,ILIRA,Dynamite,74,['albanian pop'],just hits,0.7609999999999999,0.821,8,-5.2379999999999995,1,0.20199999999999999,0.185,0.0,0.0692,0.38799999999999996,108.13,3HqQpSTLHJRKDhulVacRFb,125879,4
6,Katy Perry,Smile,70,"['dance pop', 'pop', 'post-teen pop']",להיטי קיץ,0.7829999999999999,0.912,0,-3.713,1,0.243,0.0238,0.0,0.33899999999999997,0.7490000000000001,98.025,3DXdjHnePKnh6oXw2ZgGSl,166898,4
7,Eden Hason,גדל לי קצת זקן,60,['israeli mediterranean'],הלהיטים הגדולים של ישראל,0.6709999999999999,0.47200000000000003,8,-7.898,0,0.0344,0.875,0.0,0.124,0.6629999999999999,139.748,7kJ3RSCzrosxxkNgJtQ53v,197500,4
8,Stephen Puth,Crying My Eyes Out - Acoustic,46,[],Hot Acoustics,0.713,0.305,8,-9.626,1,0.0299,0.799,0.0,0.304,0.8759999999999999,104.006,73ez4MUeIzT35JfhYoPYxZ,170905,4
9,morgxn,PORCELAIN,41,"['indie poptimism', 'la pop', 'modern alternative rock']",Out Now,0.608,0.68,0,-4.691,1,0.0336,0.00035,0.0,0.257,0.255,119.995,7poupEIC9Waxze2OHxiV5r,220653,4
