,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,God Street Wine,Nightingale,5,['jam band'],The Lot,0.732,0.71,10,-10.429,1,0.0473,0.121,0.00572,0.457,0.825,123.098,6A9mRe1Eg6jUBaiLu1ppAJ,352839,4
1,cleopatrick,hometown,63,"['modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rock']",Ultimate Rock Gaming,0.315,0.826,7,-4.314,0,0.0636,0.00064,0.000687,0.0703,0.359,139.161,6p8DGrcAUBuLUgDIKcUn0P,256072,4
2,grandson,In Over My Head,60,"['modern alternative rock', 'modern rock', 'rock']",Alternative Beats,0.5820000000000001,0.8170000000000001,0,-6.475,1,0.0399,0.0017,0.0158,0.575,0.622,155.124,3r0mb1tzAcCNoA8YRXuIhZ,198366,4
3,Counting Crows,Bobby and the Rat-Kings,0,"['alternative rock', 'neo mellow', 'pop rock', 'rock']",All New Rock,0.47,0.8809999999999999,5,-4.529,1,0.133,0.319,0.0,0.0856,0.42200000000000004,141.83700000000002,4g3abvA9DjKbjAoRDHWRsx,324867,4
4,Led Zeppelin,Black Dog - Remaster,72,"['album rock', 'classic rock', 'hard rock', 'rock']",70s Rock Anthems,0.43700000000000006,0.8640000000000001,4,-7.8420000000000005,0,0.0904,0.396,0.0314,0.242,0.7490000000000001,81.39399999999999,3qT4bUD1MaWpGrTwcvguhb,295387,4
5,Engine Down,Songbird,25,"['emo punk', 'post-hardcore']",memories,0.594,0.752,0,-5.879,0,0.028999999999999998,0.0052,1.91e-05,0.0735,0.345,101.98,2gupkqB7ID1d4x1aXXSWIM,327800,4
6,John Diva & the Rockets of Love,American Amadeus,29,"['modern hard rock', 'new wave of glam metal']",Hard Rock,0.446,0.973,1,-4.111000000000001,1,0.0539,0.0156,1.81e-06,0.322,0.52,169.998,5xJ3qPv0iq82Wrk7ibZRAV,240840,4
7,The Dandy Warhols,Mohammed,39,"['alternative rock', 'dance-punk', 'indie rock', 'modern rock', 'rock']",00s Pop Rock,0.523,0.698,0,-8.265,1,0.0319,0.017,0.8,0.203,0.235,102.11,2R71wdmz1tdbioNwPOrOK5,320467,4
8,Red Hot Chili Peppers,Scar Tissue,78,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",Soft Rock,0.595,0.7170000000000001,0,-4.803,1,0.0295,0.0779,0.00274,0.10800000000000001,0.547,88.969,1G391cbiT3v3Cywg8T7DM1,215907,4
9,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",82,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']",70s Soft Rock,0.601,0.532,10,-9.119,1,0.0286,0.43200000000000005,6.25e-06,0.0925,0.341,136.571,3gdewACMIVMEWVbyb8O9sY,281613,4
10,Mourn,Fun at the Geysers,25,['spanish post-punk'],pulp,0.456,0.961,7,-4.353,1,0.0772,0.000288,0.00201,0.366,0.7120000000000001,76.547,2XC3UsKero8x1dAgOdwhNg,118720,4
